ID	Name	Latitude	Longitude	Address	Zipcode	Type	Website	drivingTime	walkingTime	transitTime	nomalized_crime_score	foodscore	gasscore	entertainmentscore	clusters
1	@1377	33.8601	-84.33292	1377 Dresden Dr NE, Brookhaven, GA	30319	Apartment	http://www.zillow.com/b/%401377-atlanta-ga-5XqhDD/	1181	9893	2323	100	79.67032967	3.846153846	45.36082474	4
2	1016 Lofts	33.78216	-84.41211	1016 Howell Mill Rd NW, Atlanta, GA	30318	Apartment	http://www.zillow.com/b/1016-lofts-atlanta-ga-5XhtNj/	256	1073	626	77.40813393	89.01098901	38.46153846	93.29896907	7
3	1045 on the Park Apartment Homes	33.78297	-84.37967	1045 Piedmont Ave NE, Atlanta, GA	30309	Apartment	http://www.zillow.com/b/1045-on-the-park-apartment-homes-atlanta-ga-5Xm2YJ/	414	1696	1141	81.3939291	90.10989011	50	84.53608247	3
4	1050 Lenox Park Apartments	33.84786	-84.34849	1050 Lenox Park Blvd NE, Brookhaven, GA	30319	Apartment	http://www.zillow.com/b/1050-lenox-park-apartments-atlanta-ga-5XhtMQ/	1025	8598	2847	98.65639163	79.67032967	23.07692308	43.29896907	9
5	1099 Alta Ave.	33.76055	-84.35191	1099 Alta Ave NE, Atlanta, GA	30307	Apartment	http://www.zillow.com/b/1099-Alta-Ave.-Atlanta-GA/33.76055,-84.35191_ll/	818	4635	2760	95.1604403	89.56043956	26.92307692	86.59793814	3
6	1105 Town Brookhaven	33.871619	-84.338379	1105 Town Blvd NE, Brookhaven, GA	30319	Apartment	http://www.zillow.com/b/1105-town-brookhaven-atlanta-ga-5gpsqY/	1366	10728	3153	100	79.12087912	7.692307692	60.82474227	4
7	1500 Oak	33.823356	-84.230138	1500 Post Oak Dr, Clarkston, GA	30021	Apartment	http://www.zillow.com/b/1500-oak-clarkston-ga-5XhtPF/	1534	14363	4703	99.29723698	78.02197802	15.38461538	53.60824742	4
8	1824 DeFoor	33.8048	-84.42371	1824 Defoor Ave NW, Atlanta, GA	30318	Apartment	http://www.zillow.com/b/1824-defoor-atlanta-ga-65dz46/	620	3292	1806	98.65117677	81.31868132	38.46153846	92.26804124	3
9	195 Randolph Street NE	33.75965	-84.3674	195 Randolph St NE, Atlanta, GA	30303	Apartment	http://www.zillow.com/b/195-Randolph-Street-NE-Atlanta-GA/33.75965,-84.3674_ll/	589	3590	2415	89.24356394	90.65934066	30.76923077	93.29896907	3
10	2460 Peachtree Apartments	33.82222	-84.3886	2460 Peachtree Rd NW, Atlanta, GA	30305	Apartment	http://www.zillow.com/b/2460-peachtree-apartments-atlanta-ga-5XhtTW/	874	4713	3299	98.32034996	85.16483516	15.38461538	92.78350515	0
11	2959 Forrest Hills Drive	33.67414	-84.39971	2959 Forrest Hills Dr SW, Atlanta, GA	30315	Apartment	http://www.zillow.com/b/2959-Forrest-Hills-Drive-Atlanta-GA/33.67414,-84.39971_ll/	840	9813	4193	96.75341994	74.72527473	3.846153846	45.36082474	4
12	3131	33.81213	-84.30386	3131 N Druid Hills Rd, Decatur, GA	30033	Apartment	http://www.zillow.com/b/3131-decatur-ga-5XhtnL/	1156	8955	4688	94.26842033	76.92307692	19.23076923	21.13402062	6
13	32 Hundred Lennox	33.843979	-84.35899	3200 Lenox Rd NE, Atlanta, GA	30324	Apartment	http://www.zillow.com/b/32-hundred-lennox-atlanta-ga-5XhtjT/	961	8017	1959	92.74519877	85.16483516	11.53846154	79.89690722	0
14	3833 Peachtree	33.85706	-84.34648	3833 Peachtree Rd NE, Brookhaven, GA	30319	Apartment	http://www.zillow.com/b/3833-peachtree-atlanta-ga-5XhtX4/	1100	9361	2556	99.59188258	79.67032967	11.53846154	44.84536082	4
15	400 Winchester at Vinings Apartment Homes	33.8466	-84.4845	400 Winchester Trl SE, Atlanta, GA	30339	Apartment	http://www.zillow.com/b/400-Winchester-at-Vinings-Apartment-Homes-Atlanta-GA/33.8466,-84.4845_ll/	1255	9596	5829	100	84.06593407	11.53846154	29.89690722	6
16	450 Piedmont	33.76651	-84.38307	450 Piedmont Ave NE, Atlanta, GA	30303	Apartment	http://www.zillow.com/b/450-piedmont-atlanta-ga-5XhtPB/	549	2022	1783	71.98244883	91.20879121	34.61538462	81.95876289	7
17	589\-603 Seminole Ave	33.7706	-84.35033	589-603 Seminole Ave, Atlanta, GA	30307	Apartment	http://www.zillow.com/b/589.dash.603-Seminole-Ave-Atlanta-GA/33.7706,-84.35033_ll/	779	4037	2557	90.49468652	86.26373626	23.07692308	86.08247423	0
18	5 Five East	33.85617	-84.29406	2345 Peachwood Cir NE, Atlanta, GA	30345	Apartment	http://www.zillow.com/b/5-five-east-atlanta-ga-5j66PG/	981	13128	3942	92.78096973	71.42857143	19.23076923	18.55670103	2
19	730 Frederica Street	33.7749	-84.35561	730 Frederica St NE, Atlanta, GA	30306	Apartment	http://www.zillow.com/b/730-Frederica-Street-Atlanta-GA/33.7749,-84.35561_ll/	746	3495	2419	85.97615111	86.26373626	30.76923077	84.53608247	3
20	830 Moreland Avenue SE	33.73186	-84.34893	830 Moreland Ave SE, Atlanta, GA	30316	Apartment	http://www.zillow.com/b/830-Moreland-Avenue-SE-Atlanta-GA/33.73186,-84.34893_ll/	779	6661	3537	96.63912238	85.71428571	11.53846154	89.69072165	0
21	92 W. Paces	33.84072	-84.38319	92 W Paces Ferry Rd NW, Atlanta, GA	30305	Apartment	http://www.zillow.com/b/92-w.-paces-atlanta-ga-5XmDny/	1116	6522	3006	84.75508554	90.10989011	7.692307692	87.11340206	0
22	935M	33.77757	-84.40848	935 Marietta St NW, Atlanta, GA	30303	Apartment	http://www.zillow.com/b/935m-atlanta-ga-5XhtS6/	284	957	957	82.66953949	90.10989011	34.61538462	91.75257732	3
23	93 East	33.8638	-84.2852	2565 Shallowford Rd NE, Atlanta, GA	30345	Apartment	http://www.zillow.com/b/93-east-atlanta-ga-5XhtMF/	977	12600	4213	92.92892214	59.89010989	11.53846154	20.6185567	1
24	Accent North Druid Hills	33.82791	-84.33846	16 Executive Park Dr NE, Atlanta, GA	30329	Apartment	http://www.zillow.com/b/accent-north-druid-hills-atlanta-ga-5nqzdf/	866	6944	3749	99.23784519	85.71428571	50	58.24742268	9
25	Alderwood Trails	33.902	-84.2698	2917 N Dekalb Dr, Atlanta, GA	30340	Apartment	http://www.zillow.com/b/alderwood-trails-atlanta-ga-5XhtKr/	1241	15188	3398	81.96593676	82.41758242	30.76923077	94.32989691	7
26	Alexan 1133	33.777932	-84.297549	1133 Commerce Dr, Decatur, GA	30030	Apartment	http://www.zillow.com/b/alexan-1133-decatur-ga-65dnG4/	1316	7884	3322	100	90.65934066	46.15384615	95.87628866	3
27	Alexander on Ponce	33.7725	-84.38267	144 Ponce De Leon Ave NE, Atlanta, GA	30303	Apartment	http://www.zillow.com/b/alexander-on-ponce-atlanta-ga-5XhtL4/	430	1590	1398	70.30043478	90.65934066	38.46153846	80.92783505	7
28	Alexan on Krog	33.75728	-84.36463	112 Krog St NE, Atlanta, GA	30303	Apartment	http://www.zillow.com/b/Alexan-on-Krog-Atlanta-GA/33.75728,-84.36463_ll/	587	3939	2698	86.78710911	91.20879121	19.23076923	92.78350515	0
29	Allure at Brookwood	33.81108	-84.38973	40 Peachtree Valley Rd NE, Atlanta, GA	30309	Apartment	http://www.zillow.com/b/allure-at-brookwood-atlanta-ga-5XhtMq/	795	3820	3065	88.81971297	87.36263736	19.23076923	92.78350515	0
30	Allure in Buckhead Village	33.83752	-84.37574	360 Pharr Rd NE, Atlanta, GA	30305	Apartment	http://www.zillow.com/b/allure-in-buckhead-village-atlanta-ga-5XhtSY/	1003	6558	2803	93.80531132	89.01098901	26.92307692	90.20618557	3
31	AMLI Lindbergh	33.82	-84.36504	2400 Parkland Dr NE, Atlanta, GA	30324	Apartment	http://www.zillow.com/b/amli-lindbergh-atlanta-ga-5XhtSq/	730	5258	2040	92.64049237	83.51648352	69.23076923	93.29896907	8
32	AMLI Old 4th Ward	33.76889	-84.36661	525 Glen Iris Dr NE, Atlanta, GA	30303	Apartment	http://www.zillow.com/b/amli-old-4th-ward-atlanta-ga-5XhtRC/	675	3198	2355	91.70567809	87.91208791	26.92307692	90.20618557	3
33	AMLI Parkside	33.76518	-84.36588	660 Ralph Mcgill Blvd NE, Atlanta, GA	30303	Apartment	http://www.zillow.com/b/amli-parkside-atlanta-ga-5XhtPw/	650	3312	2503	95.44347942	89.56043956	23.07692308	91.75257732	0
34	AMLI Piedmont Heights	33.81889	-84.367173	2323 Piedmont Rd NE, Atlanta, GA	30324	Apartment	http://www.zillow.com/b/amli-piedmont-heights-atlanta-ga-65fm8s/	672	5071	2010	91.10368009	82.96703297	65.38461538	93.81443299	8
35	AMLI Ponce Park	33.7711	-84.3657	641 North Ave NE, Atlanta, GA	30303	Apartment	http://www.zillow.com/b/amli-ponce-park-atlanta-ga-5fzfqc/	647	2910	2210	82.59053125	86.26373626	23.07692308	88.1443299	7
36	Anderson at Clairmont Apartment Homes	33.8533	-84.3013	2500 Ne, Atlanta, GA	30345	Apartment	http://www.zillow.com/b/anderson-at-clairmont-apartment-homes-atlanta-ga-5Xhv3Y/	979	11017	3907	99.34223815	82.96703297	19.23076923	25.77319588	6
37	Ansley Forest	33.7996	-84.36929	1616 Piedmont Ave NE, Atlanta, GA	30324	Apartment	http://www.zillow.com/b/ansley-forest-atlanta-ga-5XhtSW/	707	3503	1917	94.75059154	80.21978022	46.15384615	89.69072165	3
38	Arbor Gates at Buckhead	33.8264	-84.3587	2500 Pine Tree Rd NE, Atlanta, GA	30324	Apartment	http://www.zillow.com/b/arbor-gates-at-buckhead-atlanta-ga-5XhtNZ/	744	6524	2567	98.44519304	82.41758242	69.23076923	91.75257732	8
39	Ardmore & 28th Apartments	33.803611	-84.397426	306 Ardmore Cir NW, Atlanta, GA	30309	Apartment	http://www.zillow.com/b/ardmore-%26-28th-apartments-atlanta-ga-5Yy88F/	705	3513	2884	96.61191669	90.65934066	26.92307692	79.3814433	3
40	Arium Chastain	33.89088	-84.37984	240 E Belle Isle Rd, Atlanta, GA	30342	Apartment	http://www.zillow.com/b/arium-chastain-atlanta-ga-63hJg8/	1257	10861	3663	100	80.21978022	15.38461538	57.73195876	4
41	Arts Center Tower	33.78928	-84.38821	1270 W Peachtree St NW, Atlanta, GA	30309	Apartment	http://www.zillow.com/b/arts-center-tower-atlanta-ga-5XhtRr/	439	1731	1346	91.0216763	91.20879121	19.23076923	82.98969072	0
42	Ashford 2788	33.81989	-84.44609	2788 Defoors Ferry Rd NW, Atlanta, GA	30318	Apartment	http://www.zillow.com/b/ashford-2788-atlanta-ga-5XhtX8/	860	5735	2148	92.37965417	70.32967033	3.846153846	24.74226804	2
43	Ashford Druid Hills	33.8238	-84.3309	1491 Druid Valley Dr NE, Atlanta, GA	30329	Apartment	http://www.zillow.com/b/ashford-druid-hills-atlanta-ga-5XhtpJ/	952	7389	3171	98.94035401	82.96703297	42.30769231	41.75257732	9
44	Ashford Walk	33.8925	-84.2304	3480 Morningside Village Ln, Atlanta, GA	30340	Apartment	http://www.zillow.com/b/ashford-walk-atlanta-ga-5XhtqW/	1283	18501	4128	94.05952595	66.48351648	11.53846154	15.46391753	2
45	Ashley Collegetown	33.74396	-84.41759	387 Joseph E Lowery Blvd SW, Atlanta, GA	30303	Apartment	http://www.zillow.com/b/ashley-collegetown-atlanta-ga-5XhtTY/	617	4146	2657	83.86290868	85.16483516	19.23076923	36.59793814	6
46	Aspen Woods Apartments	33.70276	-84.27632	3379 Flat Shoals Rd, Decatur, GA	30034	Apartment	http://www.zillow.com/b/aspen-woods-apartments-decatur-ga-5XhtN5/	1203	12686	4513	97.41380395	55.49450549	7.692307692	27.31958763	1
47	Auburn Glenn	33.752933	-84.371829	49 Boulevard SE, Atlanta, GA	30303	Apartment	http://www.zillow.com/b/auburn-glenn-atlanta-ga-5XkZKc/	560	3712	2328	61.52401393	91.20879121	23.07692308	92.78350515	7
48	Audubon Briarcliff	33.8394	-84.3102	3120 Briarcliff Rd NE, Atlanta, GA	30329	Apartment	http://www.zillow.com/b/audubon-briarcliff-atlanta-ga-5Xhtpj/	979	9596	3691	95.0063927	75.27472527	15.38461538	20.10309278	6
49	Avalon On Montreal	33.8149	-84.2463	1086 Montreal Rd, Clarkston, GA	30021	Apartment	http://www.zillow.com/b/avalon-on-montreal-clarkston-ga-5XhtSs/	1539	13607	5121	100	89.56043956	11.53846154	100	0
50	Avalon Park	33.7761	-84.47782	2798 Peek Rd NW, Atlanta, GA	30318	Apartment	http://www.zillow.com/b/avalon-park-atlanta-ga-5XhtRR/	872	6238	3532	88.55501965	52.1978022	7.692307692	10.30927835	1
51	Avalon Ridge	33.67178	-84.38761	183 Mount Zion Rd SE, Atlanta, GA	30354	Apartment	http://www.zillow.com/b/avalon-ridge-atlanta-ga-5XhtQ9/	1037	10370	0	94.96708332	25.82417582	3.846153846	13.91752577	5
52	Avana Lenox	33.82855	-84.3576	925 Canterbury Rd NE, Atlanta, GA	30324	Apartment	http://www.zillow.com/b/Avana-Lenox-Atlanta-GA/33.82855,-84.3576_ll/	769	6631	2757	95.96734013	81.31868132	65.38461538	89.17525773	8
53	Avana Uptown	33.8413	-84.3155	2910 Clairmont Rd NE, Brookhaven, GA	30329	Apartment	http://www.zillow.com/b/avana-uptown-atlanta-ga-5XhtdW/	908	9548	4055	100	79.12087912	19.23076923	27.83505155	6
54	Avana Westside	33.78869	-84.42182	1040 Huff Rd NW, Atlanta, GA	30318	Apartment	http://www.zillow.com/b/avana-westside-atlanta-ga-5XhtRS/	533	2315	1326	94.6907104	87.91208791	30.76923077	90.20618557	3
55	Avery Glen	33.7708	-84.2909	339 E College Ave, Decatur, GA	30030	Apartment	http://www.zillow.com/b/avery-glen-decatur-ga-5XhtPy/	1333	8324	3547	100	91.20879121	26.92307692	96.90721649	3
56	Awesome Midtown Apartments	33.77763	-84.37678	842 Glendale Ter NE, Atlanta, GA	30303	Apartment	http://www.zillow.com/b/Awesome-Midtown-Apartments-Atlanta-GA/33.77763,-84.37678_ll/	518	1791	1836	93.77334299	89.56043956	38.46153846	83.50515464	3
57	Beacon Hill	33.881031	-84.244606	3301 Henderson Mill Rd, Atlanta, GA	30341	Condo	http://www.zillow.com/b/beacon-hill-atlanta-ga-5XkrJT/	1282	16087	3995	98.9278142	68.68131868	3.846153846	27.83505155	2
58	Bell Cheshire Bridge	33.81392	-84.35573	2124 Cheshire Bridge Rd NE, Atlanta, GA	30324	Apartment	http://www.zillow.com/b/bell-cheshire-bridge-atlanta-ga-5XhtQY/	870	5255	2727	95.37970969	83.51648352	76.92307692	62.37113402	8
59	Bell Hartsfield	33.65469	-84.4106	3640 S Fulton Ave, Atlanta, GA	30354	Apartment	http://www.zillow.com/b/bell-hartsfield-atlanta-ga-5XkZXn/	1044	10994	3481	100	86.26373626	23.07692308	95.87628866	0
60	Bell Vinings	33.87924	-84.46287	3151 Stillhouse Creek Dr SE, Atlanta, GA	30339	Apartment	http://www.zillow.com/b/bell-vinings-atlanta-ga-5XhthG/	1017	12006	2825	100	76.92307692	23.07692308	74.74226804	0
61	Bell Windy Ridge	33.899	-84.4575	3505 Windy Ridge Ln SE, Atlanta, GA	30339	Apartment	http://www.zillow.com/b/bell-windy-ridge-atlanta-ga-5XhtS5/	1037	13937	4701	100	79.67032967	3.846153846	67.01030928	4
62	Berkshire Howell Mill	33.80768	-84.4127	1950 Howell Mill Rd NW, Atlanta, GA	30318	Apartment	http://www.zillow.com/b/berkshire-howell-mill-atlanta-ga-5Yy5Wb/	487	3265	1227	93.28523679	81.31868132	38.46153846	59.79381443	9
63	Berkshire Terminus	33.84583	-84.37101	20 Terminus Pl NE, Atlanta, GA	30305	Apartment	http://www.zillow.com/b/berkshire-terminus-atlanta-ga-63DFkd/	1008	7260	2174	82.98312514	87.91208791	15.38461538	85.56701031	0
64	Biltmore at Midtown	33.77802	-84.38427	855 W Peachtree St NW, Atlanta, GA	30303	Apartment	http://www.zillow.com/b/biltmore-at-midtown-atlanta-ga-5ZQbC9/	397	1215	1109	60.51118256	90.65934066	30.76923077	84.53608247	7
65	Broadstone Court	33.83977	-84.37148	3097 Maple Dr NE, Atlanta, GA	30305	Apartment	http://www.zillow.com/b/Broadstone-Court-Atlanta-GA/33.83977,-84.37148_ll/	1031	7024	2610	87.62051924	90.10989011	15.38461538	87.62886598	0
66	Brookleigh Flats	33.891985	-84.323962	3450 Blair Cir NE, Brookhaven, GA	30319	Apartment	http://www.zillow.com/b/brookleigh-flats-brookhaven-ga-65b5ZH/	1421	12487	3669	100	79.67032967	11.53846154	41.2371134	6
67	Brookside Park	33.69947	-84.40741	565 Saint Johns Ave SW, Atlanta, GA	30315	Apartment	http://www.zillow.com/b/brookside-park-atlanta-ga-5ZRDkz/	829	7234	3165	87.05785828	74.72527473	3.846153846	10.30927835	2
68	Cambridge at Buckhead	33.84797	-84.37577	3432 Piedmont Rd NE, Atlanta, GA	30305	Apartment	http://www.zillow.com/b/cambridge-at-buckhead-atlanta-ga-5XhtXP/	983	7309	2576	93.57739068	89.56043956	19.23076923	87.11340206	0
69	Camden Brookwood	33.80252	-84.39784	147 26th St NW, Atlanta, GA	30309	Apartment	http://www.zillow.com/b/camden-brookwood-atlanta-ga-5XrBBR/	607	3023	2866	98.34147308	91.20879121	26.92307692	79.89690722	3
70	Camden Creekstone	33.91983	-84.3081	1945 Savoy Dr, Atlanta, GA	30341	Apartment	http://www.zillow.com/b/camden-creekstone-atlanta-ga-5XhtTN/	1226	15833	4196	100	76.37362637	42.30769231	23.71134021	9
71	Camden Fourth Ward	33.76754	-84.36594	477 Wilmer St NE, Atlanta, GA	30303	Apartment	http://www.zillow.com/b/camden-fourth-ward-atlanta-ga-5Ymq4N/	691	3169	2272	94.96538801	88.46153846	26.92307692	91.2371134	3
72	Camden Midtown Atlanta	33.77177	-84.37853	265 Ponce De Leon Ave NE, Atlanta, GA	30303	Apartment	http://www.zillow.com/b/camden-midtown-atlanta-atlanta-ga-5XhtbB/	523	1899	1673	70.95867788	90.10989011	50	80.92783505	7
73	Camden Paces	33.84366	-84.38148	77 E Andrews Dr NW, Atlanta, GA	30305	Apartment	http://www.zillow.com/b/camden-paces-atlanta-ga-5ZJsQc/	1153	6755	3094	86.92790154	90.65934066	15.38461538	88.1443299	0
74	Camden St. Clair	33.8385	-84.31542	3000 Briarcliff Rd NE, Atlanta, GA	30329	Apartment	http://www.zillow.com/b/camden-st.-clair-atlanta-ga-5XhtWR/	967	8953	3525	94.38285643	79.67032967	19.23076923	27.83505155	6
75	Camden Vantage	33.75931	-84.37434	180 Jackson St NE, Atlanta, GA	30303	Apartment	http://www.zillow.com/b/camden-vantage-atlanta-ga-5XhtV4/	468	3157	2295	86.37482446	89.56043956	42.30769231	89.17525773	3
76	CB Lofts	33.82106	-84.35217	2430 Cheshire Bridge Rd NE, Atlanta, GA	30324	Apartment	http://www.zillow.com/b/cb-lofts-atlanta-ga-5XhtTZ/	843	5770	2694	83.90592047	84.61538462	46.15384615	95.36082474	3
77	Charleston Court Luxury Apartment Homes	33.90352	-84.37438	5450 Glenridge Dr, Atlanta, GA	30342	Apartment	http://www.zillow.com/b/charleston-court-luxury-apartment-homes-atlanta-ga-63hJDS/	1169	12121	3931	100	84.06593407	23.07692308	77.31958763	0
78	CityNorth	33.850598	-84.247921	3421 Northlake Pkwy, Atlanta, GA	30345	Apartment	http://www.zillow.com/b/citynorth-atlanta-ga-5XjVPB/	1275	13906	5284	91.71966803	80.21978022	26.92307692	36.08247423	9
79	City View	33.76089	-84.37257	433 Highland Ave NE, Atlanta, GA	30303	Apartment	http://www.zillow.com/b/city-view-atlanta-ga-5XhtW7/	448	3159	2075	90.72557219	90.10989011	38.46153846	89.69072165	3
80	CoHo Apartments	33.81396	-84.39651	297D Colonial Homes Dr, Atlanta, GA	30309	Apartment	http://www.zillow.com/b/CoHo-Apartments-Atlanta-GA/33.81396,-84.39651_ll/	759	4149	2716	95.99107108	87.36263736	19.23076923	84.02061856	0
81	Concorde	33.83378	-84.38557	2870 Pharr Court South NW, Atlanta, GA	30305	Condo	http://www.zillow.com/b/concorde-atlanta-ga-5XkDJL/	1149	6424	3235	90.54881974	88.46153846	7.692307692	83.50515464	0
82	Conservatory at Druid Hills	33.811592	-84.291399	3421 N Druid Hills Rd, Decatur, GA	30033	Apartment	http://www.zillow.com/b/conservatory-at-druid-hills-decatur-ga-5Xhtdw/	1249	9854	3937	88.67833707	80.21978022	7.692307692	13.91752577	2
83	Cyan on Peachtree	33.85017	-84.36658	3380 Peachtree Rd NE, Atlanta, GA	30326	Apartment	http://www.zillow.com/b/cyan-on-peachtree-atlanta-ga-64VXy4/	1005	7802	0	92.52376105	88.46153846	15.38461538	78.86597938	0
84	Decatur Crossing	33.7802	-84.2782	100 Grayson Pl, Decatur, GA	30030	Apartment	http://www.zillow.com/b/decatur-crossing-decatur-ga-5XhtRx/	1503	9309	3722	97.92097396	77.47252747	42.30769231	96.39175258	3
85	Dogwood Apartments	33.7504	-84.4691	95 Peyton Rd SW, Atlanta, GA	30311	Apartment	http://www.zillow.com/b/dogwood-apartments-atlanta-ga-5XhtY3/	932	7130	3131	84.05284242	29.67032967	7.692307692	10.30927835	5
86	Dunwoody Glen	33.9301	-84.27131	6750 Peachtree Industrial Blvd, Atlanta, GA	30360	Apartment	http://www.zillow.com/b/dunwoody-glen-atlanta-ga-5XkJ5d/	1413	17990	4667	100	83.51648352	19.23076923	14.43298969	6
87	Elan Lindbergh	33.82322	-84.36415	741 Morosgo Dr NE, Atlanta, GA	30324	Apartment	http://www.zillow.com/b/Elan-Lindbergh-Atlanta-GA/33.82322,-84.36415_ll/	782	5684	1912	66.08547557	83.51648352	88.46153846	92.26804124	8
88	Elle of Buckhead	33.83661	-84.37943	235 Pharr Rd NE, Atlanta, GA	30305	Apartment	http://www.zillow.com/b/elle-of-buckhead-atlanta-ga-5Xhtb9/	1026	6260	2927	93.50413507	90.65934066	30.76923077	89.17525773	3
89	Encore @ Clairmont	33.8431	-84.3159	1000 Barone Ave NE, Brookhaven, GA	30329	Apartment	http://www.zillow.com/b/encore-%40-clairmont-atlanta-ga-5g2DNX/	841	9469	4067	100	79.12087912	11.53846154	27.83505155	6
90	Exchange at North Haven	33.88721	-84.31609	2432 Johnson Ferry Rd NE, Atlanta, GA	30341	Apartment	http://www.zillow.com/b/Exchange-at-North-Haven-Atlanta-GA/33.88721,-84.31609_ll/	1380	12392	3078	100	82.41758242	15.38461538	36.08247423	6
91	Flats at Ponce City Market	33.7733	-84.3644	675 Ponce De Leon Ave NE, Atlanta, GA	30303	Apartment	http://www.zillow.com/b/flats-at-ponce-city-market-atlanta-ga-5YyFqB/	654	2764	2249	68.85057754	86.81318681	26.92307692	88.1443299	7
92	Fulton Cotton Mill Lofts	33.751109	-84.368791	170 Boulevard SE, Atlanta, GA	30303	Condo	http://www.zillow.com/b/fulton-cotton-mill-lofts-atlanta-ga-5XrDyX/	744	4451	3083	96.17263333	90.65934066	23.07692308	92.78350515	0
93	Gables 820 West	33.78084	-84.41579	820 W Marietta St NW, Atlanta, GA	30318	Apartment	http://www.zillow.com/b/gables-820-west-atlanta-ga-5ZFjqj/	376	1504	1052	81.51542023	90.10989011	34.61538462	93.81443299	7
94	Gables Brookhaven	33.87212	-84.33212	4420 Peachtree Rd NE, Brookhaven, GA	30319	Apartment	http://www.zillow.com/b/gables-brookhaven-brookhaven-ga-65d29N/	1250	10579	2979	100	79.67032967	3.846153846	45.36082474	4
95	Gables Century Center	33.84797	-84.31073	1740 Century Cir NE, Atlanta, GA	30345	Apartment	http://www.zillow.com/b/gables-century-center-atlanta-ga-5jHZSC/	920	10110	4261	100	82.96703297	23.07692308	21.13402062	6
96	Gables Midtown	33.8081	-84.37477	1925 Monroe Dr NE, Atlanta, GA	30324	Apartment	http://www.zillow.com/b/gables-midtown-atlanta-ga-5XhtgK/	608	4405	2217	96.87985053	80.76923077	73.07692308	95.87628866	8
97	Gables Mill	33.89062	-84.45204	100 Akers Ridge Dr SE, Atlanta, GA	30339	Apartment	http://www.zillow.com/b/gables-mill-atlanta-ga-5XhtfB/	994	13375	4746	100	75.82417582	7.692307692	62.88659794	4
98	Gables Montclair	33.79145	-84.30692	100 Ladson Ct, Decatur, GA	30033	Apartment	http://www.zillow.com/b/gables-montclair-decatur-ga-5XhtdB/	1368	7971	3498	95.98071402	75.82417582	15.38461538	23.71134021	6
99	Gables Rock Springs	33.7928	-84.3418	550 Rock Springs Pl NE, Atlanta, GA	30306	Apartment	http://www.zillow.com/b/gables-rock-springs-atlanta-ga-5Ypjdj/	992	5201	2442	97.09424841	86.81318681	7.692307692	33.50515464	6
100	Gables Sheridan	33.82555	-84.33811	1514 Sheridan Rd NE, Atlanta, GA	30324	Apartment	http://www.zillow.com/b/Gables-Sheridan-Atlanta-GA/33.82555,-84.33811_ll/	882	7107	3764	84.4922384	85.16483516	42.30769231	58.24742268	9
101	Glenridge Walk Apartments	33.90174	-84.35135	5385 Peachtree Dunwoody Rd, Atlanta, GA	30342	Apartment	http://www.zillow.com/b/glenridge-walk-apartments-atlanta-ga-5XhtjN/	1128	12719	3047	100	68.68131868	26.92307692	28.86597938	6
102	Hidden Colony Apartment Homes	33.88778	-84.27	3373 Aztec Rd, Doraville, GA	30340	Apartment	http://www.zillow.com/b/hidden-colony-apartment-homes-doraville-ga-FHj2/	1229	14598	4265	100	78.57142857	11.53846154	18.04123711	2
103	Highland Lake	33.80197	-84.30925	10 Highland Lake Cir, Decatur, GA	30033	Apartment	http://www.zillow.com/b/highland-lake-decatur-ga-5hDDXL/	1248	8228	4557	95.5790232	78.57142857	26.92307692	39.69072165	9
104	Highland Ridge	33.79816	-84.40588	499 Northside Cir NW, Atlanta, GA	30309	Apartment	http://www.zillow.com/b/highland-ridge-atlanta-ga-5hPVcS/	429	2124	1924	87.33959924	91.20879121	50	76.28865979	3
105	Highland Square	33.7939	-84.3381	1400 Briarcliff Rd NE, Atlanta, GA	30306	Apartment	http://www.zillow.com/b/highland-square-atlanta-ga-5Xhth5/	1137	5487	2768	98.19600283	75.82417582	3.846153846	33.50515464	6
106	Highland View	33.77595	-84.36375	784 Ponce De Leon Pl NE, Atlanta, GA	30303	Apartment	http://www.zillow.com/b/highland-view-atlanta-ga-639vXg/	698	3021	2186	79.67241546	85.16483516	26.92307692	85.05154639	7
107	Highland Walk Apartments	33.76076	-84.36415	701 Highland Ave NE, Atlanta, GA	30303	Apartment	http://www.zillow.com/b/highland-walk-apartments-atlanta-ga-5XhtgH/	623	3712	2706	83.48423122	89.56043956	30.76923077	92.26804124	7
108	Indigo House	33.90883	-84.36015	111 Glenridge Point Pkwy, Sandy Springs, GA	30342	Apartment	http://www.zillow.com/b/Indigo-House-Sandy-Springs-GA/33.90883,-84.36015_ll/	1112	13438	3054	100	75.82417582	42.30769231	25.25773196	9
109	Inman Quarter	33.76274	-84.35828	299 N Highland Ave NE, Atlanta, GA	30307	Apartment	http://www.zillow.com/b/inman-quarter-atlanta-ga-63dy5H/	667	3946	3063	82.03646188	89.56043956	42.30769231	89.69072165	3
110	Ivy Hall Apartment Homes	33.77182	-84.38068	625 Piedmont Ave NE, Atlanta, GA	30303	Apartment	http://www.zillow.com/b/ivy-hall-apartment-homes-atlanta-ga-5Xhtdh/	482	1775	1681	65.83252223	90.65934066	46.15384615	80.92783505	7
111	Ivy Park	33.74571	-84.31866	2035 Memorial Dr SE, Atlanta, GA	30317	Apartment	http://www.zillow.com/b/ivy-park-atlanta-ga-5XhtnQ/	861	7760	3874	96.82282426	78.02197802	15.38461538	35.05154639	6
